Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Hello json,300,2794,2272,6541,7018,7257,257,7632,"29,33%","8,0","2,3"
simple DB,300,2555,1525,6885,7541,8510,128,8888,"40,67%","6,6","2,0"
Multiple DB 5,300,2574,354,7477,7938,8373,128,8953,"47,33%","5,7","2,1"
Multiple DB 50,300,2823,171,8015,8523,9093,128,9209,"50,67%","4,9","5,2"
Multiple DB 500,300,3324,177,8946,9268,9816,128,10115,"52,33%","4,3","33,0"
Fortunes,300,3061,164,8356,8651,9231,128,9473,"54,33%","4,0","5,2"
Multiple DB update 500,300,3853,186,9334,9740,10382,128,10904,"63,33%","3,7","22,6"
Multiple DB update 50,300,3516,1968,8358,8821,9509,128,9822,"50,33%","3,8","4,0"
Multiple DB update 5,300,3076,328,8216,8553,9141,128,9370,"47,67%","3,8","1,4"
TOTAL,2700,3064,753,8244,8829,9594,128,10904,"48,44%","32,2","66,2"
