timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1443559588913,259,Hello json,502,Bad Gateway,Azure A1 2-267,text,false,346,150,150,http://azua1.test.itcrowd/json,259
1443559582325,6858,Multiple DB 5,200,OK,Azure A1 2-150,text,true,402,150,150,http://azua1.test.itcrowd/db?queries=5,6858
1443559589061,132,Multiple DB 500,502,Bad Gateway,Azure A1 2-196,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=500,132
1443559589061,132,Multiple DB update 500,502,Bad Gateway,Azure A1 2-107,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=500,132
1443559589067,133,Multiple DB update 50,502,Bad Gateway,Azure A1 2-135,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=50,133
1443559589082,132,simple DB,502,Bad Gateway,Azure A1 2-266,text,false,346,151,151,http://azua1.test.itcrowd/db,132
1443559582138,7081,Multiple DB 50,200,OK,Azure A1 2-194,text,true,1834,151,151,http://azua1.test.itcrowd/db?queries=50,6951
1443559589104,138,Multiple DB update 5,502,Bad Gateway,Azure A1 2-101,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=5,138
1443559589118,129,Multiple DB update 50,502,Bad Gateway,Azure A1 2-105,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=50,129
1443559589118,131,Fortunes,502,Bad Gateway,Azure A1 2-82,text,false,346,150,150,http://azua1.test.itcrowd/fortunes,131
1443559589118,132,Multiple DB 5,502,Bad Gateway,Azure A1 2-198,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,131
1443559589009,260,Hello json,502,Bad Gateway,Azure A1 2-268,text,false,346,150,150,http://azua1.test.itcrowd/json,260
1443559582669,6609,simple DB,200,OK,Azure A1 2-202,text,true,274,150,150,http://azua1.test.itcrowd/db,6609
1443559589160,130,Multiple DB 50,502,Bad Gateway,Azure A1 2-113,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,130
1443559589156,135,Multiple DB 50,502,Bad Gateway,Azure A1 2-264,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,135
1443559589173,130,simple DB,502,Bad Gateway,Azure A1 2-267,text,false,346,150,150,http://azua1.test.itcrowd/db,130
1443559589185,132,Multiple DB 50,502,Bad Gateway,Azure A1 2-150,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=50,132
1443559589195,132,Multiple DB update 50,502,Bad Gateway,Azure A1 2-107,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=50,132
1443559589195,133,Fortunes,502,Bad Gateway,Azure A1 2-196,text,false,346,151,151,http://azua1.test.itcrowd/fortunes,133
1443559589201,132,Multiple DB update 5,502,Bad Gateway,Azure A1 2-135,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=5,132
1443559589220,133,Multiple DB 5,502,Bad Gateway,Azure A1 2-266,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,133
