timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1443559590452,130,Multiple DB 50,502,Bad Gateway,Azure A1 2-158,text,false,346,148,148,http://azua1.test.itcrowd/db?queries=50,130
1443559583598,6996,Multiple DB 5,200,OK,Azure A1 2-210,text,true,404,148,148,http://azua1.test.itcrowd/db?queries=5,6996
1443559583504,7102,Hello json,200,OK,Azure A1 2-213,text,true,270,148,148,http://azua1.test.itcrowd/json,7102
1443559590491,128,Multiple DB update 5,502,Bad Gateway,Azure A1 2-23,text,false,346,149,149,http://azua1.test.itcrowd/updates?queries=5,128
1443559590490,129,simple DB,502,Bad Gateway,Azure A1 2-280,text,false,346,149,149,http://azua1.test.itcrowd/db,129
1443559590492,130,Multiple DB update 500,502,Bad Gateway,Azure A1 2-203,text,false,346,149,149,http://azua1.test.itcrowd/updates?queries=500,130
1443559590530,130,simple DB,502,Bad Gateway,Azure A1 2-211,text,false,346,148,148,http://azua1.test.itcrowd/db,130
1443559583659,7001,simple DB,200,OK,Azure A1 2-212,text,true,274,148,148,http://azua1.test.itcrowd/db,7001
1443559590528,132,Fortunes,502,Bad Gateway,Azure A1 2-275,text,false,346,148,148,http://azua1.test.itcrowd/fortunes,132
1443559590528,132,Multiple DB 500,502,Bad Gateway,Azure A1 2-117,text,false,346,148,148,http://azua1.test.itcrowd/db?queries=500,132
